x,y,z,inclinacion,azimuth,mode,medida_daq
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.323313
-1.25,-0.75,0.75,38,207,r_vertical,-0.322326
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.3243
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.323971
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.331209
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.331538
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.331209
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.331867
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.323971
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.324629
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.324629
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.331867
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.33417
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.331538
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.331867
-1.25,-0.75,0.75,38,207,r_vertical,-0.331538
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.332196
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.331538
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.331538
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.323971
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.331538
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.323642
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.332854
-1.25,-0.75,0.75,38,207,r_vertical,-0.332525
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.331538
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.3243
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.324629
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.3243
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.3243
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.318377
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.323971
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.324629
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.324629
-1.25,-0.75,0.75,38,207,r_vertical,-0.331867
-1.25,-0.75,0.75,38,207,r_vertical,-0.332196
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.331209
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.323971
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.330551
-1.25,-0.75,0.75,38,207,r_vertical,-0.330222
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.325287
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.331209
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.329564
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.328906
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.328248
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.326274
-1.25,-0.75,0.75,38,207,r_vertical,-0.326603
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.331209
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.33088
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.329893
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.327919
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.325616
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.324958
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.329235
-1.25,-0.75,0.75,38,207,r_vertical,-0.328577
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
-1.25,-0.75,0.75,38,207,r_vertical,-0.32759
-1.25,-0.75,0.75,38,207,r_vertical,-0.325945
-1.25,-0.75,0.75,38,207,r_vertical,-0.326932
-1.25,-0.75,0.75,38,207,r_vertical,-0.327261
